Phase,Group,Sub-Group,Checklist Item,Importance,Weight (Group Total = 100),Mandatory,Implemented? (Yes / No / NA),Comments
Development,HTML Semantics & Structure,Semantics,Semantic-to-div ratio above threshold; pages with >70% generic containers (div/span) flagged,Critical,12,Yes,,
Development,HTML Semantics & Structure,Semantics,Correct heading hierarchy maintained,Critical,12,Yes,,
Development,HTML Semantics & Structure,Semantics,Single h1 per page where applicable,High,8,Yes,,
Development,HTML Semantics & Structure,Landmarks,Landmark regions defined,High,8,Yes,,
Development,HTML Semantics & Structure,Structure,Consistent sectioning elements usage,High,8,Yes,,
Development,HTML Semantics & Structure,Structure,DOM source order matches visual tab order; no positive tabindex values; CSS order/flex-direction does not contradict DOM sequence,High,8,Yes,,
Development,HTML Semantics & Structure,Structure,Page content hierarchy intact when CSS disabled (headings and body text present in correct DOM order; no content hidden without CSS),High,8,Yes,,
Development,HTML Semantics & Structure,Structure,Avoid excessive DOM depth,Medium,5,No,,
Development,HTML Semantics & Structure,Structure,Avoid div-only markup,Medium,5,No,,
Development,HTML Semantics & Structure,Structure,Repeated component types use consistent HTML structure (automated pattern deviation detection across same-class elements),Medium,6,No,,
Development,HTML Forms & Inputs,Forms,Radio/checkbox groups wrapped in fieldset with legend; forms with 3+ related inputs have grouping,High,8,Yes,,
Development,HTML Forms & Inputs,Forms,All inputs have associated labels,Critical,12,Yes,,
Development,HTML Forms & Inputs,Forms,Placeholder not used as label,High,8,Yes,,
Development,HTML Forms & Inputs,Forms,Required fields indicated accessibly,High,8,Yes,,
Development,HTML Forms & Inputs,Forms,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage; error containers use role='alert' or aria-live='assertive'; error text is non-empty and >10 characters; error elements visible and positioned within 200px of associated input (layout proximity via getBoundingClientRect),Critical,12,Yes,,
Development,HTML Forms & Inputs,Forms,Primary content (headings/navigation/body text) renders with JavaScript disabled; <noscript> fallbacks present where applicable,High,8,Yes,,
Development,HTML Forms & Inputs,Forms,Avoid inline event handlers,Medium,5,No,,
Development,HTML Forms & Inputs,Forms,Avoid inline styles,Medium,5,No,,
Development,HTML Forms & Inputs,Forms,Accessible names for interactive elements,Critical,12,Yes,,
Development,HTML Forms & Inputs,Forms,No empty links or buttons,High,12,Yes,,
Development,HTML Media & Data,Images,Images with role='presentation' or aria-hidden='true' have empty alt; standalone <img> without adjacent text and without alt flagged; hero/banner images (>400px rendered width) verified to have non-empty alt >10 chars; <img> in decorative containers (CSS background-alternative patterns) verified to have empty alt or role='presentation',High,8,Yes,,
Development,HTML Media & Data,Images,Alt text is not a filename or path; not generic (image/photo/icon/picture/graphic/banner/logo without qualifier); between 5-125 characters; does not duplicate adjacent text content; does not begin with 'image of'/'picture of'/'photo of'; alt on linked images describes destination; AI-vision validates alt text semantic relevance against rendered image content,Critical,12,Yes,,
Development,HTML Media & Data,Tables,Tables use thead and tbody,High,8,Yes,,
Development,HTML Media & Data,Tables,Table headers use th,High,8,Yes,,
Development,HTML Media & Data,Lists,Lists use ul or ol correctly,High,8,Yes,,
Development,HTML Media & Data,Images,Images inside links/buttons or as sole content of a container have non-empty alt text; alt text on linked images does not duplicate parent link text; linked-image alt contains action or destination keyword; alt text length between 5-125 characters,High,8,Yes,,
Development,HTML Media & Data,Tables,Tables not used for layout,Critical,12,Yes,,
Development,HTML Media & Data,Tables,Table headers have scope,Medium,6,No,,
Development,HTML Media & Data,Images,Accessible image role usage,Medium,6,No,,
Development,HTML Media & Data,Lists,List semantics not broken by CSS,Medium,6,No,,
Development,HTML Metadata & Validation,Metadata,Page <title> exists; is >10 characters; not a default value (Untitled/Document/Home/Page/Website/Welcome); is unique across crawled pages; contains keyword overlap with page <h1> content; follows consistent pattern across site (e.g. 'Page - Site' or 'Page | Site' separator detected),Critical,12,Yes,,
Development,HTML Metadata & Validation,Metadata,Meta viewport configured correctly,High,8,Yes,,
Development,HTML Metadata & Validation,IDs,No duplicate IDs,Critical,12,Yes,,
Development,HTML Metadata & Validation,IDs,IDs used only when necessary,Medium,6,No,,
Development,HTML Metadata & Validation,Validation,No invalid HTML nesting,Critical,12,Yes,,
Development,HTML Metadata & Validation,Validation,HTML validates without errors,Critical,12,Yes,,
Development,HTML Metadata & Validation,ARIA,ARIA roles do not duplicate native semantics,High,8,Yes,,
Development,HTML Metadata & Validation,ARIA,Avoid misuse of ARIA roles,High,8,Yes,,
Development,HTML Metadata & Validation,ARIA,ARIA used only when necessary,Medium,6,No,,
Development,HTML Metadata & Validation,Metadata,Meta tags do not block zoom,Medium,6,No,,
Development,HTML Metadata & Validation,Links,No broken links (automated crawl),High,8,Yes,,
Development,CSS Architecture & Tokens,Design Tokens,CSS variables used for all colors,Critical,10,Yes,,
Development,CSS Architecture & Tokens,Design Tokens,CSS variables used for spacing scale,High,8,Yes,,
Development,CSS Architecture & Tokens,Design Tokens,CSS variables used for typography scale,High,8,Yes,,
Development,CSS Architecture & Tokens,Design Tokens,No hardcoded hex/rgb color values,Critical,10,Yes,,
Development,CSS Architecture & Tokens,Design Tokens,No hardcoded pixel spacing where tokens exist,High,8,Yes,,
Development,CSS Architecture & Tokens,Maintainability,Consistent naming conventions,High,8,Yes,,
Development,CSS Architecture & Tokens,Maintainability,Class names do not contain hex values or color names as identifiers; no purely positional names (left1/col2); BEM or project naming convention pattern enforced,High,8,Yes,,
Development,CSS Architecture & Tokens,Maintainability,No project/customer prefixes in class names,Medium,5,No,,
Development,CSS Architecture & Tokens,Maintainability,No inline styles in markup,Critical,10,Yes,,
Development,CSS Architecture & Tokens,Maintainability,CSS readable without minification,Medium,5,No,,
Development,CSS Architecture & Tokens,Maintainability,CSS selectors for same component co-located in same file; no duplicate selectors scattered across files; related rules grouped by component,Medium,5,No,,
Development,Layout & Responsiveness,Layout,Layout containers (elements with >2 side-by-side children) use display:flex or display:grid; no float:left/right for multi-column layouts (float allowed for text-wrap only); no display:table for non-tabular content; absolute positioning in <5% of layout containers,Medium,10,Yes,,
Development,Layout & Responsiveness,Layout,Avoid absolute positioning for layout,High,8,No,,
Development,Layout & Responsiveness,Layout,Avoid floats for layout,Medium,8,Yes,,
Development,Layout & Responsiveness,Layout,Avoid fixed heights for content containers,High,8,Yes,,
Development,Layout & Responsiveness,Responsive,min-width media queries outnumber max-width queries; base styles (outside media queries) target mobile viewport dimensions,Critical,10,Yes,,
Development,Layout & Responsiveness,Responsive,Standard breakpoints only,High,8,Yes,,
Development,Layout & Responsiveness,Responsive,No mixing min/max width queries,Medium,5,No,,
Development,Layout & Responsiveness,Responsive,Responsive images by default,High,8,Yes,,
Development,Layout & Responsiveness,Stability,Avoid layout shift during load,Critical,10,Yes,,
Development,Layout & Responsiveness,Layering,Avoid z-index escalation,Medium,5,No,,
Development,Performance & Misc - CSS,Performance,Avoid expensive box-shadows,Medium,5,No,,
Development,Performance & Misc - CSS,Performance,Avoid heavy CSS filters,Medium,5,No,,
Development,Performance & Misc - CSS,Performance,No infinite CSS animations on non-loading elements; animation duration under 1s; total animation count per page within threshold,High,8,Yes,,
Development,Performance & Misc - CSS,Compatibility,All CSS properties/values supported in target browsers (checked against caniuse compatibility data); no unprefixed experimental features without fallbacks,Critical,12,Yes,,
Development,Performance & Misc - CSS,Compatibility,Fallbacks for unsupported CSS,High,8,Yes,,
Development,Performance & Misc - CSS,Compatibility,Avoid vendor prefixes unless required,Medium,5,No,,
Development,Performance & Misc - CSS,Quality,No duplicated CSS rules,High,8,Yes,,
Development,Performance & Misc - CSS,Quality,No unused CSS selectors,High,8,Yes,,
Development,Performance & Misc - CSS,Quality,Consistent property ordering,Medium,5,No,,
Development,Performance & Misc - CSS,Quality,CSS passes Lighthouse best practices,Critical,36,Yes,,
Development,JavaScript Architecture & Loading,Loading,No blocking scripts in head,Critical,12,Yes,,
Development,JavaScript Architecture & Loading,Loading,Use async or defer appropriately,High,8,Yes,,
Development,JavaScript Architecture & Loading,Loading,Third-party scripts lazy loaded,High,8,Yes,,
Development,JavaScript Architecture & Loading,Loading,No JS files loaded on pages where their exports are unused; code-split bundles match route usage; Lighthouse unused-JS audit passes,High,8,Yes,,
Development,JavaScript Architecture & Loading,Loading,No marketing tags in head,Medium,6,No,,
Development,JavaScript Architecture & Loading,Loading,Build toolchain presence (webpack/vite/rollup/parcel config) detected and flagged; no build tool = pass,Medium,6,No,,
Development,JavaScript Architecture & Loading,Loading,Source maps generated for production builds; non-minified source files present in repository,Medium,6,No,,
Development,JavaScript Architecture & Loading,Loading,User-facing strings in component render/template functions reference i18n keys or constants; hardcoded display strings >3 words flagged,Medium,6,No,,
Development,JavaScript Architecture & Loading,Loading,No binaries stored in repository,Medium,6,No,,
Development,JavaScript Architecture & Loading,Loading,Error messages follow consistent pattern (checked via regex); no raw string throws; error constants or error classes used,Medium,14,Yes,,
Development,JavaScript DOM & Performance Safety,DOM,Direct DOM API call count (querySelector/appendChild/insertBefore/removeChild) within threshold per file (max 10 per file),High,8,Yes,,
Development,JavaScript DOM & Performance Safety,DOM,No large innerHTML assignments (>500 chars of HTML); createElement chains limited to 5 per function; DOM generation concentrated in template/render functions,High,8,Yes,,
Development,JavaScript DOM & Performance Safety,DOM,Avoid tight DOM coupling,High,8,Yes,,
Development,JavaScript DOM & Performance Safety,DOM,Avoid forced synchronous layouts,Critical,12,Yes,,
